Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,"10 3/4"" Tieback running list Test-Well",,,,,,,
,,,,,,,,,
,,Casing:,Thread:,Weight:,ID,OD cplg.,Capacity:,CE Displ,M/U Torque
,,,,lbs./ft.,[inch]:,[inch]:,[l/m]:,l/m,[ft.lbs]:
,,"10 3/4 L-80, 60,7#",,60.7,9.69,10.75,47.618,58.557,"38,650 - 42,950 - 47,250  "
,,,,,,,,,
,,-,,,,,,,Running list: 
,,Prepared by: -,,0,0,0,0,,Final
,,Approved by: -,,,,,,,Test-Rig
,,,,,,,,,
,Run,,,Joint/,Joint,Cum.,Depth,Depth,
,no.:,Item.,Threads,Stand,Length,Length,btm. item,top item,Remarks:
,,,,no.:,[m] :,[m] :,[m] :,[m] :,
,,,,,,,1495.68,,"9 5/8"" Btm PBR"
,15,"10 3/4"" 60,7# L-80",,,12.799,548.9699999999998,918.2560000000001,905.4570000000001,
,,"10 3/4"" 60,7# L-80",,,12.801,561.7709999999998,905.4570000000001,892.6560000000001,Casing stand no. 15
,,"10 3/4"" 60,7# L-80",,,12.8,574.5709999999998,892.6560000000001,879.8560000000001,
,16,"10 3/4"" 60,7# L-80",,,12.805,587.3759999999997,879.8560000000001,867.0510000000002,
,,"10 3/4"" 60,7# L-80",,,12.801,600.1769999999998,867.0510000000002,854.2500000000001,Casing stand no. 16
,,"10 3/4"" 60,7# L-80",,,12.805,612.9819999999997,854.2500000000001,841.4450000000002,
,17,"10 3/4"" 60,7# L-80",,,12.806,625.7879999999998,841.4450000000002,828.6390000000001,
,,"10 3/4"" 60,7# L-80",,,12.801,638.5889999999998,828.6390000000001,815.8380000000001,Casing stand no. 17
,,"10 3/4"" 60,7# L-80",,,12.805,651.3939999999998,815.8380000000001,803.0330000000001,
,18,"10 3/4"" 60,7# L-80",,,12.804,664.1979999999998,803.0330000000001,790.2290000000002,
,,"10 3/4"" 60,7# L-80",,,12.801,676.9989999999998,790.2290000000002,777.4280000000001,Casing stand no. 18
,,"10 3/4"" 60,7# L-80",,,12.802,689.8009999999998,777.4280000000001,764.6260000000001,
,19,"10 3/4"" 60,7# L-80",,,12.805,702.6059999999998,764.6260000000001,751.8210000000001,
,,"10 3/4"" 60,7# L-80",,,12.808,715.4139999999998,751.8210000000001,739.0130000000001,Casing stand no. 19
,,"10 3/4"" 60,7# L-80",,,12.807,728.2209999999998,739.0130000000001,726.2060000000001,
,20,"10 3/4"" 60,7# L-80",,,12.805,741.0259999999997,726.2060000000001,713.4010000000002,
,,"10 3/4"" 60,7# L-80",,,12.802,753.8279999999997,713.4010000000002,700.5990000000002,Casing stand no. 20
,,"10 3/4"" 60,7# L-80",,,12.801,766.6289999999998,700.5990000000002,687.7980000000001,
,21,"10 3/4"" 60,7# L-80",,,12.799,779.4279999999998,687.7980000000001,674.9990000000001,
,,"10 3/4"" 60,7# L-80",,,12.802,792.2299999999998,674.9990000000001,662.1970000000001,Casing stand no. 21
,,"10 3/4"" 60,7# L-80",,,12.399,804.6289999999998,662.1970000000001,649.7980000000001,
,22,"10 3/4"" 60,7# L-80",,,12.804,817.4329999999998,649.7980000000001,636.9940000000001,
,,"10 3/4"" 60,7# L-80",,,12.805,830.2379999999997,636.9940000000001,624.1890000000002,Casing stand no. 22
,,"10 3/4"" 60,7# L-80",,,12.808,843.0459999999997,624.1890000000002,611.3810000000002,
,23,"10 3/4"" 60,7# L-80",,,12.807,855.8529999999997,611.3810000000002,598.5740000000002,
,,"10 3/4"" 60,7# L-80",,,12.806,868.6589999999998,598.5740000000002,585.7680000000001,Casing stand no. 23
,,"10 3/4"" 60,7# L-80",,,12.806,881.4649999999998,585.7680000000001,572.9620000000001,
,24,"10 3/4"" 60,7# L-80",,,12.805,894.2699999999998,572.9620000000001,560.1570000000002,
,,"10 3/4"" 60,7# L-80",,,12.807,907.0769999999998,560.1570000000002,547.3500000000001,Casing stand no. 24
,,"10 3/4"" 60,7# L-80",,,12.805,919.8819999999997,547.3500000000001,534.5450000000002,
,25,"10 3/4"" 60,7# L-80",,,12.807,932.6889999999997,534.5450000000002,521.7380000000002,
,,"10 3/4"" 60,7# L-80",,,12.806,945.4949999999998,521.7380000000002,508.9320000000002,Casing stand no. 25
,,"10 3/4"" 60,7# L-80",,,12.808,958.3029999999998,508.93200000000013,496.12400000000014,
,26,"10 3/4"" 60,7# L-80",,,12.807,971.1099999999998,496.12400000000014,483.3170000000001,
,,"10 3/4"" 60,7# L-80",,,12.808,983.9179999999998,483.3170000000001,470.5090000000001,Casing stand no. 26
,,"10 3/4"" 60,7# L-80",,,12.803,996.7209999999998,470.5090000000001,457.70600000000013,
,27,"10 3/4"" 60,7# L-80",,,12.8,1009.5209999999997,457.70600000000013,444.9060000000001,
,,"10 3/4"" 60,7# L-80",,,12.807,1022.3279999999997,444.9060000000001,432.0990000000001,Casing stand no. 27
,,"10 3/4"" 60,7# L-80",,,12.807,1035.1349999999998,432.0990000000001,419.2920000000001,
,28,"10 3/4"" 60,7# L-80",,,12.805,1047.9399999999998,419.2920000000001,406.4870000000001,
,,"10 3/4"" 60,7# L-80",,,12.802,1060.7419999999997,406.4870000000001,393.68500000000006,Casing stand no. 28
,,"10 3/4"" 60,7# L-80",,,12.451,1073.1929999999998,393.68500000000006,381.23400000000004,
